primary_title,start_year,end_year,genres,average_rating,num_votes,show_id
Game of Thrones,2011,2019,"Action,Adventure,Drama",9.2,2224679,0944947
Breaking Bad,2008,2013,"Crime,Drama,Thriller",9.5,2064740,0903747
Stranger Things,2016,2025,"Drama,Fantasy,Horror",8.7,1291998,4574334
Friends,1994,2004,"Comedy,Romance",8.9,1058462,0108778
The Walking Dead,2010,2022,"Drama,Horror,Thriller",8.1,1055402,1520211
Sherlock,2010,2017,"Crime,Drama,Mystery",9.1,974486,1475582
The Big Bang Theory,2007,2019,"Comedy,Romance",8.2,847708,0898266
Dexter,2006,2013,"Crime,Drama,Mystery",8.7,751252,0773262
How I Met Your Mother,2005,2014,"Comedy,Drama,Romance",8.3,715801,0460649
The Office,2005,2013,Comedy,9.0,677881,0386676
Black Mirror,2011,\N,"Drama,Mystery,Sci-Fi",8.7,619207,2085059
Peaky Blinders,2013,2022,"Crime,Drama",8.8,617567,2442560
Better Call Saul,2015,2022,"Crime,Drama",9.0,616691,3032476
True Detective,2014,\N,"Crime,Drama,Mystery",8.9,615373,2356777
The Boys,2019,\N,"Action,Comedy,Crime",8.7,604500,1190634
Lost,2004,2010,"Adventure,Drama,Fantasy",8.3,582155,0411008
Rick and Morty,2013,\N,"Adventure,Animation,Comedy",9.1,578256,2861424
Prison Break,2005,2017,"Action,Crime,Drama",8.3,567160,0455275
The Mandalorian,2019,\N,"Action,Adventure,Fantasy",8.7,567149,8111088
Vikings,2013,2020,"Action,Adventure,Drama",8.5,566543,2306299
The Witcher,2019,\N,"Action,Adventure,Drama",8.0,556257,5180504
Westworld,2016,2022,"Drama,Mystery,Sci-Fi",8.5,523953,0475784
House of Cards,2013,2018,Drama,8.7,523401,1856010
Money Heist,2017,2021,"Action,Crime,Drama",8.2,513913,6468322
Squid Game,2021,\N,"Action,Drama,Mystery",8.0,509529,10919420
House,2004,2012,"Drama,Mystery",8.7,494778,0412142
Supernatural,2005,2020,"Drama,Fantasy,Horror",8.4,471547,0460681
Attack on Titan,2013,2023,"Action,Adventure,Animation",9.1,471317,2560140
The Last of Us,2023,\N,"Action,Adventure,Drama",8.8,469648,3581920
Modern Family,2009,2020,"Comedy,Drama,Romance",8.5,466844,1442437
Daredevil,2015,2018,"Action,Crime,Drama",8.6,464484,3322312
Suits,2011,2019,"Comedy,Drama",8.4,458736,1632701
Narcos,2015,2017,"Biography,Crime,Drama",8.8,456836,2707408
The Sopranos,1999,2007,"Crime,Drama",9.2,447316,0141842
Arrow,2012,2020,"Action,Adventure,Crime",7.5,442476,2193021
The Simpsons,1989,\N,"Animation,Comedy",8.7,428137,0096697
Dark,2017,2020,"Crime,Drama,Mystery",8.7,426751,5753856
Mr. Robot,2015,2019,"Crime,Drama,Thriller",8.5,409112,4158110
South Park,1997,\N,"Animation,Comedy",8.7,398210,0121955
Fargo,2014,2024,"Crime,Drama,Thriller",8.9,393366,2802850
Loki,2021,2023,"Action,Adventure,Fantasy",8.2,388776,9140554
The Wire,2002,2008,"Crime,Drama,Thriller",9.3,365563,0306414
The Flash,2014,2023,"Action,Adventure,Drama",7.5,364510,3107288
Death Note,2006,2007,"Animation,Crime,Drama",8.9,362755,0877057
Family Guy,1999,\N,"Animation,Comedy",8.2,357831,0182576
Homeland,2011,2020,"Crime,Drama,Mystery",8.3,355715,1796960
Avatar: The Last Airbender,2005,2008,"Action,Adventure,Animation",9.3,347828,0417299
House of the Dragon,2022,\N,"Action,Adventure,Drama",8.5,347128,11198330
Brooklyn Nine-Nine,2013,2021,"Comedy,Crime",8.4,346946,2467372
Lucifer,2016,2021,"Crime,Drama,Fantasy",8.1,346605,4052886
The Vampire Diaries,2009,2017,"Drama,Fantasy,Horror",7.7,341904,1405406
The Lord of the Rings: The Rings of Power,2022,\N,"Action,Adventure,Drama",7.0,341897,7631058
Seinfeld,1989,1998,Comedy,8.9,341742,0098904
Wednesday,2022,\N,"Comedy,Crime,Fantasy",8.1,340214,13443470
American Horror Story,2011,\N,"Drama,Horror,Sci-Fi",8.0,337320,1844624
Sex Education,2019,2023,"Comedy,Drama",8.3,336325,7767422
Ozark,2017,2022,"Crime,Drama,Thriller",8.5,336135,5071412
Grey's Anatomy,2005,\N,"Drama,Romance",7.6,332270,0413573
Mindhunter,2017,2019,"Crime,Drama,Mystery",8.6,321115,5290382
Arrested Development,2003,2019,Comedy,8.7,319156,0367279
Ted Lasso,2020,2023,"Comedy,Drama,Sport",8.8,318825,10986410
Orange Is the New Black,2013,2019,"Comedy,Crime,Drama",8.0,315848,2372162
Sons of Anarchy,2008,2014,"Crime,Drama,Thriller",8.6,315790,1124373
13 Reasons Why,2017,2020,"Drama,Mystery,Thriller",7.5,309915,1837492
Aspirants,2021,\N,Drama,9.2,307034,14392248
You,2018,2024,"Crime,Drama,Romance",7.7,287856,7335184
Community,2009,2015,Comedy,8.5,285571,1439629
Parks and Recreation,2009,2015,Comedy,8.6,279941,1266020
Firefly,2002,2003,"Adventure,Drama,Sci-Fi",9.0,277108,0303461
Two and a Half Men,2003,2015,"Comedy,Romance",7.1,275665,0369179
The Blacklist,2013,2023,"Crime,Drama,Mystery",8.0,273603,2741602
Hannibal,2013,2015,"Crime,Drama,Horror",8.5,269792,2243973
Shameless,2011,2021,"Comedy,Drama",8.5,269641,1586680
The 100,2014,2020,"Drama,Mystery,Sci-Fi",7.6,269037,2661044
The Umbrella Academy,2019,2024,"Action,Adventure,Comedy",7.9,267038,1312171
Scrubs,2001,2010,"Comedy,Drama",8.4,266606,0285403
The Punisher,2017,2019,"Action,Crime,Drama",8.5,257176,5675620
True Blood,2008,2014,"Drama,Fantasy,Mystery",7.9,256690,0844441
Futurama,1999,\N,"Adventure,Animation,Comedy",8.5,256047,0149460
Mad Men,2007,2015,Drama,8.7,254771,0804503
Fringe,2008,2013,"Drama,Mystery,Sci-Fi",8.4,253909,1119644
Spartacus,2010,2013,"Action,Adventure,Biography",8.5,252352,1442449
The Handmaid's Tale,2017,\N,"Drama,Sci-Fi,Thriller",8.4,252321,5834204
Arcane,2021,\N,"Action,Adventure,Animation",9.0,250162,11126994
Heroes,2006,2010,"Drama,Fantasy,Sci-Fi",7.5,248997,0813715
It's Always Sunny in Philadelphia,2005,\N,Comedy,8.8,245053,0472954
Succession,2018,2023,"Comedy,Drama",8.9,244660,7660850
The X-Files,1993,2018,"Crime,Drama,Mystery",8.6,242361,0106179
New Girl,2011,2018,"Comedy,Romance",7.8,240224,1826940
The Crown,2016,2023,"Biography,Drama,History",8.6,238566,4786824
Gotham,2014,2019,"Action,Crime,Drama",7.8,238150,3749900
Doctor Who,2005,\N,"Adventure,Drama,Sci-Fi",8.6,237313,0436992
Once Upon a Time,2011,2018,"Adventure,Fantasy,Romance",7.7,233843,1843230
Agents of S.H.I.E.L.D.,2013,2020,"Action,Adventure,Drama",7.5,223737,2364582
Euphoria,2019,\N,Drama,8.3,223503,8772296
Jessica Jones,2015,2019,"Action,Crime,Drama",7.9,223463,2357547
Downton Abbey,2010,2015,"Drama,Romance",8.7,218846,1606375
Big Little Lies,2017,2019,"Crime,Drama,Mystery",8.4,217937,3920596
Criminal Minds,2005,\N,"Crime,Drama,Mystery",8.1,213005,0452046
The End of the F***ing World,2017,2019,"Adventure,Comedy,Crime",8.0,212560,6257970
Twin Peaks,1990,1991,"Crime,Drama,Mystery",8.8,209833,0098936
One Piece,1999,\N,"Action,Adventure,Animation",8.9,207021,0388629
Cobra Kai,2018,2023,"Action,Comedy,Drama",8.5,199571,7221388
Boardwalk Empire,2010,2014,"Crime,Drama",8.6,199448,0979432
Yellowstone,2018,\N,"Drama,Western",8.7,196812,4236770
The Mentalist,2008,2015,"Crime,Drama,Mystery",8.2,196050,1196946
24,2001,2010,"Action,Crime,Drama",8.4,194380,0285331
Fullmetal Alchemist: Brotherhood,2009,2010,"Action,Adventure,Animation",9.1,189987,1355642
The White Lotus,2021,2025,"Comedy,Drama",7.9,188194,13406094
"Love, Death & Robots",2019,\N,"Action,Adventure,Animation",8.4,188086,9561862
Gossip Girl,2007,2012,"Drama,Romance",7.5,188065,0397442
Fleabag,2016,2019,"Comedy,Drama",8.7,187899,5687612
That '70s Show,1998,2006,"Comedy,Drama,Romance",8.1,186644,0165598
Californication,2007,2014,"Comedy,Drama",8.3,186638,0904208
Person of Interest,2011,2016,"Action,Crime,Drama",8.5,185368,1839578
She-Hulk: Attorney at Law,2022,2022,"Action,Adventure,Comedy",5.3,185197,10857160
Altered Carbon,2018,2020,"Action,Drama,Sci-Fi",7.9,184045,2261227
The Good Place,2016,2020,"Comedy,Drama,Fantasy",8.2,181559,4955642
Rome,2005,2007,"Action,Drama,Romance",8.7,181435,0384766
BoJack Horseman,2014,2020,"Animation,Comedy,Drama",8.8,180034,3398228
One Punch Man,2015,2019,"Action,Animation,Comedy",8.7,179974,4508902
Severance,2022,\N,"Drama,Mystery,Sci-Fi",8.7,178273,11280740
Pretty Little Liars,2010,2017,"Drama,Mystery,Romance",7.4,175664,1578873
Invincible,2021,\N,"Action,Adventure,Animation",8.7,175521,6741278
Entourage,2004,2011,"Comedy,Drama",8.4,175133,0387199
Outlander,2014,\N,"Drama,Fantasy,Romance",8.4,174818,3006802
Battlestar Galactica,2004,2009,"Action,Adventure,Drama",8.7,172948,0407362
Bones,2005,2017,"Crime,Drama,Mystery",7.8,171757,0460627
Castle,2009,2016,"Comedy,Crime,Drama",8.1,171104,1219024
Tom Clancy's Jack Ryan,2018,2023,"Action,Drama,Thriller",8.0,169101,5057054
The Heroes,2008,\N,"Animation,Drama,History",8.4,167474,7657124
The Bear,2022,\N,"Comedy,Drama",8.6,166854,14452776
The Expanse,2015,2022,"Drama,Mystery,Sci-Fi",8.5,166785,3230854
The Sandman,2022,\N,"Drama,Fantasy,Horror",7.7,164192,1751634
Archer,2009,2023,"Action,Animation,Comedy",8.6,162859,1486217
How to Get Away with Murder,2014,2020,"Crime,Drama,Mystery",8.1,162841,3205802
Silicon Valley,2014,2019,Comedy,8.5,161725,2575988
The IT Crowd,2006,2013,Comedy,8.5,161312,0487831
Sense8,2015,2018,"Drama,Mystery,Sci-Fi",8.2,160630,2431438
The Last Kingdom,2015,2022,"Action,Drama,History",8.5,160231,4179452
Teen Wolf,2011,2017,"Action,Drama,Fantasy",7.7,159970,1567432
Bridgerton,2020,\N,"Drama,Romance",7.4,159889,8740790
NCIS,2003,\N,"Action,Crime,Drama",7.8,158521,0364845
Buffy the Vampire Slayer,1997,2003,"Action,Drama,Fantasy",8.3,156339,0118276
Reacher,2022,\N,"Action,Crime,Drama",8.1,154052,9288030
Andor,2022,\N,"Action,Adventure,Drama",8.4,153891,9253284
Glee,2009,2015,"Comedy,Drama,Music",6.8,153880,1327801
This Is Us,2016,2022,"Comedy,Drama,Romance",8.7,153701,5555260
Riverdale,2017,2023,"Crime,Drama,Mystery",6.5,152781,5420376
Luther,2010,2019,"Crime,Drama,Mystery",8.4,151500,1474684
Naruto: Shippuden,2007,2017,"Action,Adventure,Animation",8.7,151222,0988824
Freaks and Geeks,1999,2000,"Comedy,Drama",8.8,150481,0193676
After Life,2019,2022,"Comedy,Drama",8.4,148307,8398600
Taboo,2017,2017,"Drama,Mystery,Thriller",8.3,146256,3647998
Chuck,2007,2012,"Action,Comedy,Drama",8.2,144714,0934814
The Originals,2013,2018,"Drama,Fantasy,Horror",8.3,144694,2632424
Only Murders in the Building,2021,\N,"Comedy,Crime,Drama",8.1,144159,11691774
Six Feet Under,2001,2005,"Comedy,Drama",8.7,143609,0248654
Dragon Ball Z,1989,1996,"Action,Adventure,Animation",8.8,142906,0214341
Gilmore Girls,2000,2007,"Comedy,Drama",8.2,142522,0238784
The Fresh Prince of Bel-Air,1990,1996,Comedy,7.9,142334,0098800
Bodyguard,2018,2024,"Crime,Drama,Thriller",8.1,140820,7493974
Fear the Walking Dead,2015,2023,"Drama,Horror,Sci-Fi",6.8,140179,3743822
Malcolm in the Middle,2000,2006,"Comedy,Family",8.2,139413,0212671
Sex and the City,1998,2004,"Comedy,Drama,Romance",7.3,139036,0159206
Curb Your Enthusiasm,2000,\N,Comedy,8.8,138656,0264235
Schitt's Creek,2015,2020,Comedy,8.5,138547,3526078
The Marvelous Mrs. Maisel,2017,2023,"Comedy,Drama",8.7,138404,5788792
White Collar,2009,2014,"Comedy,Crime,Drama",8.2,138352,1358522
Luke Cage,2016,2018,"Action,Crime,Drama",7.3,137503,3322314
Iron Fist,2017,2018,"Action,Adventure,Crime",6.4,137437,3322310
Demon Slayer: Kimetsu no Yaiba,2019,\N,"Action,Adventure,Animation",8.6,136814,9335498
Desperate Housewives,2004,2012,"Comedy,Drama,Mystery",7.6,136702,0410975
Smallville,2001,2011,"Action,Adventure,Drama",7.5,135291,0279600
The Sinner,2017,2021,"Crime,Drama,Mystery",7.9,135180,6048596
American Dad!,2005,\N,"Animation,Comedy",7.4,134067,0397306
What If...?,2021,\N,"Action,Adventure,Animation",7.4,133277,10168312
Cowboy Bebop,1998,1999,"Action,Adventure,Animation",8.9,133112,0213338
Lupin,2021,\N,"Action,Crime,Drama",7.5,131959,2531336
Star Trek: The Next Generation,1987,1994,"Action,Adventure,Drama",8.7,131879,0092455
The Legend of Korra,2012,2014,"Action,Adventure,Animation",8.4,131310,1695360
King the Land,2023,\N,"Comedy,Romance",4.6,130872,26693803
The Wheel of Time,2021,\N,"Action,Adventure,Drama",7.1,130731,7462410
Star Trek: Discovery,2017,2024,"Action,Adventure,Drama",7.1,130545,5171438
30 Rock,2006,2013,Comedy,8.3,129874,0496424
Mr. Bean,1990,1995,"Comedy,Family",8.6,129608,0096657
Killing Eve,2018,2022,"Action,Adventure,Drama",8.1,129328,7016936
