primary_title,start_year,end_year,genres,average_rating,num_votes,show_id,normalized_title
Game of Thrones,2011,2019,"Action,Adventure,Drama",9.2,2224679,9209796d-9e65-46a0-9cb4-4a897a612915,gameofthrones
Breaking Bad,2008,2013,"Crime,Drama,Thriller",9.5,2064740,9e5b41a0-2ce0-4f83-948e-672b61ed08d1,breakingbad
Stranger Things,2016,2025,"Drama,Fantasy,Horror",8.7,1291998,e769f8fd-caf0-4985-b2da-e1a042e6e0e5,strangerthings
Friends,1994,2004,"Comedy,Romance",8.9,1058462,a591a3c8-88a6-42c1-83ef-d70a97d472a5,friends
The Walking Dead,2010,2022,"Drama,Horror,Thriller",8.1,1055402,833241e8-443e-4454-adb8-f2e5ce127785,thewalkingdead
Sherlock,2010,2017,"Crime,Drama,Mystery",9.1,974486,7c8cdaa9-5ebf-4abd-b108-5774eb1c3677,sherlock
The Big Bang Theory,2007,2019,"Comedy,Romance",8.2,847708,47b2c849-f2ed-4be5-b989-87d0162b5542,thebigbangtheory
Dexter,2006,2013,"Crime,Drama,Mystery",8.7,751252,2c222ef1-fdbd-4d5b-a37f-2ddc0cab6aae,dexter
How I Met Your Mother,2005,2014,"Comedy,Drama,Romance",8.3,715801,79041786-0851-4995-8765-c96d9313300f,howimetyourmother
The Office,2005,2013,Comedy,9.0,677881,3154e0c9-7e53-4ec0-87ce-6bb704ada0fb,theoffice
Black Mirror,2011,\N,"Drama,Mystery,Sci-Fi",8.7,619207,8203e6bb-56c4-45c8-855e-cf2c7cc2aa9f,blackmirror
Peaky Blinders,2013,2022,"Crime,Drama",8.8,617567,56531c56-597e-4547-8357-6c28a9c9570a,peakyblinders
Better Call Saul,2015,2022,"Crime,Drama",9.0,616691,008d78db-1fb5-4142-8807-7a112059e3de,bettercallsaul
True Detective,2014,\N,"Crime,Drama,Mystery",8.9,615373,f97c4339-96c5-4d0d-b272-0de2648f55f6,truedetective
The Boys,2019,\N,"Action,Comedy,Crime",8.7,604500,8d326278-6961-4538-9445-27e940affea4,theboys
Lost,2004,2010,"Adventure,Drama,Fantasy",8.3,582155,a2e3b3ce-e36a-4f6a-9b7a-e53c78a839e4,lost
Rick and Morty,2013,\N,"Adventure,Animation,Comedy",9.1,578256,7860e1b0-907a-4f22-8e02-d94ae623d114,rickandmorty
Prison Break,2005,2017,"Action,Crime,Drama",8.3,567160,f5a1e49e-1146-4b4b-85ab-6e14717a3a65,prisonbreak
The Mandalorian,2019,\N,"Action,Adventure,Fantasy",8.7,567149,17ce11c8-bd11-45ad-8dd8-1ab41ab0265e,themandalorian
