primary_title,start_year,end_year,genres,average_rating,num_votes,show_id,normalized_title
Game of Thrones,2011,2019,"Action,Adventure,Drama",9.2,2224679,e2bc60fe-f668-4eb9-9570-a684bf642df0,gameofthrones
Breaking Bad,2008,2013,"Crime,Drama,Thriller",9.5,2064740,19a4ea24-1ea1-4997-a6f0-34f927c226a4,breakingbad
Stranger Things,2016,2025,"Drama,Fantasy,Horror",8.7,1291998,ca225270-fd65-4830-ad79-e1c08646c3ce,strangerthings
Friends,1994,2004,"Comedy,Romance",8.9,1058462,fb5304d9-6dcf-4f2e-a6b4-08bff162ec90,friends
The Walking Dead,2010,2022,"Drama,Horror,Thriller",8.1,1055402,d57c6be1-0643-41d3-a67d-fb6f076a207b,thewalkingdead
Sherlock,2010,2017,"Crime,Drama,Mystery",9.1,974486,4e622983-4e11-4564-ad84-6b4f4d2f4347,sherlock
The Big Bang Theory,2007,2019,"Comedy,Romance",8.2,847708,b5222d0f-f174-4bc1-9386-248b299605b2,thebigbangtheory
Dexter,2006,2013,"Crime,Drama,Mystery",8.7,751252,51ae59ef-51eb-4e4e-8770-865b9bcdea96,dexter
How I Met Your Mother,2005,2014,"Comedy,Drama,Romance",8.3,715801,b385b5e7-5c0e-4e6a-81b7-091ee89c73d9,howimetyourmother
The Office,2005,2013,Comedy,9.0,677881,6823ad34-383e-4bee-a327-5c2c53e69a05,theoffice
Black Mirror,2011,\N,"Drama,Mystery,Sci-Fi",8.7,619207,972cbbd0-66b7-4964-92b2-a624787f7d18,blackmirror
Peaky Blinders,2013,2022,"Crime,Drama",8.8,617567,cc33881d-5f21-405c-8292-7c52f6837302,peakyblinders
Better Call Saul,2015,2022,"Crime,Drama",9.0,616691,d46ab5bd-4510-4b5c-85ae-15ef74d281bf,bettercallsaul
True Detective,2014,\N,"Crime,Drama,Mystery",8.9,615373,6f271234-51bc-4583-81a6-1d8a340b9ac0,truedetective
The Boys,2019,\N,"Action,Comedy,Crime",8.7,604500,c13a74a5-c45a-4ffa-b03b-489b6c3b40cd,theboys
Lost,2004,2010,"Adventure,Drama,Fantasy",8.3,582155,5f9499a6-7269-422a-9576-82ddc5f463ed,lost
Rick and Morty,2013,\N,"Adventure,Animation,Comedy",9.1,578256,967dbd3a-2f97-467f-8bea-f8cbd81f8159,rickandmorty
Prison Break,2005,2017,"Action,Crime,Drama",8.3,567160,388e5b70-0e0e-4371-902e-8736ce32b5cb,prisonbreak
