primary_title,start_year,end_year,genres,average_rating,num_votes,show_id,normalized_title
Game of Thrones,2011,2019,"Action,Adventure,Drama",9.2,2224679,c5a15b55-0447-4849-8699-5950d1366714,gameofthrones
Breaking Bad,2008,2013,"Crime,Drama,Thriller",9.5,2064740,38b9e35d-4e0d-4e62-9b0f-d24fe0e6157e,breakingbad
Stranger Things,2016,2025,"Drama,Fantasy,Horror",8.7,1291998,8eafad1e-40d5-457d-a14d-3e4ab75260d8,strangerthings
Friends,1994,2004,"Comedy,Romance",8.9,1058462,716a1478-8631-4bb8-8e19-2832394044de,friends
The Walking Dead,2010,2022,"Drama,Horror,Thriller",8.1,1055402,9ba6758f-0d46-4685-b500-7190cb1a835b,thewalkingdead
Sherlock,2010,2017,"Crime,Drama,Mystery",9.1,974486,fff5f240-04b8-4435-8fde-a0d99e28f6ff,sherlock
The Big Bang Theory,2007,2019,"Comedy,Romance",8.2,847708,6a652f73-2c85-4c4d-9efc-cfa233028d7d,thebigbangtheory
Dexter,2006,2013,"Crime,Drama,Mystery",8.7,751252,0e13ee21-9174-4848-895c-4dca16d3a9a1,dexter
How I Met Your Mother,2005,2014,"Comedy,Drama,Romance",8.3,715801,f704b269-b4ad-497f-9d95-968302861b9d,howimetyourmother
The Office,2005,2013,Comedy,9.0,677881,07d21ed5-197a-42ad-bdbe-2c8668ffc2f6,theoffice
Black Mirror,2011,\N,"Drama,Mystery,Sci-Fi",8.7,619207,6bffd099-e15a-4d77-abac-416bd60f99ec,blackmirror
Peaky Blinders,2013,2022,"Crime,Drama",8.8,617567,97041b12-d8b0-42fb-89aa-7a937246215d,peakyblinders
Better Call Saul,2015,2022,"Crime,Drama",9.0,616691,4715eca8-9d39-4899-9b0f-565d1a72b2c3,bettercallsaul
True Detective,2014,\N,"Crime,Drama,Mystery",8.9,615373,f78bfa5b-c8f5-4419-85aa-547a763686a5,truedetective
The Boys,2019,\N,"Action,Comedy,Crime",8.7,604500,7c8204ac-0dba-4afc-a4af-c1a9e3546f23,theboys
Lost,2004,2010,"Adventure,Drama,Fantasy",8.3,582155,50e4b673-01b4-4b1d-a879-212370ec8c7f,lost
Rick and Morty,2013,\N,"Adventure,Animation,Comedy",9.1,578256,399c5c6a-ef3a-435e-88d4-2b4aceb98854,rickandmorty
Prison Break,2005,2017,"Action,Crime,Drama",8.3,567160,13760ca0-934f-454e-a405-3ad3d58d94ee,prisonbreak
The Mandalorian,2019,\N,"Action,Adventure,Fantasy",8.7,567149,7702fe3e-e218-4311-8651-03f916c4f476,themandalorian
Vikings,2013,2020,"Action,Adventure,Drama",8.5,566543,f4e221c7-e84b-418f-abe0-4465a1b403fe,vikings
The Witcher,2019,\N,"Action,Adventure,Drama",8.0,556257,9c4c7801-027e-4ab0-9144-4e106f39827c,thewitcher
Westworld,2016,2022,"Drama,Mystery,Sci-Fi",8.5,523953,98ce9937-c1a2-46b0-84c1-720c7a599df8,westworld
House of Cards,2013,2018,Drama,8.7,523401,0a7443ae-7814-4880-9d59-c44fa2d56ffc,houseofcards
Money Heist,2017,2021,"Action,Crime,Drama",8.2,513913,fb37147a-e65a-4716-8d17-7792fce3a983,moneyheist
Squid Game,2021,\N,"Action,Drama,Mystery",8.0,509529,a614dde9-40e3-4e82-a657-1d69854cb2f4,squidgame
House,2004,2012,"Drama,Mystery",8.7,494778,3b254aff-2992-4a15-b99e-e57598be9507,house
Supernatural,2005,2020,"Drama,Fantasy,Horror",8.4,471547,fa274c6a-79bf-495c-b231-83c651470f4f,supernatural
Attack on Titan,2013,2023,"Action,Adventure,Animation",9.1,471317,75d1d682-8294-4f64-be6e-aece526592e4,attackontitan
The Last of Us,2023,\N,"Action,Adventure,Drama",8.8,469648,6631d3e9-4d1f-453c-832a-2cf49a2a533f,thelastofus
Modern Family,2009,2020,"Comedy,Drama,Romance",8.5,466844,2143a558-e3dd-4520-8551-58931f098fdc,modernfamily
Daredevil,2015,2018,"Action,Crime,Drama",8.6,464484,92d3ec6a-72d0-44b6-afa7-a1f54cd7b49a,daredevil
Suits,2011,2019,"Comedy,Drama",8.4,458736,65263612-714f-45f8-8f77-d66cdcbd8702,suits
Narcos,2015,2017,"Biography,Crime,Drama",8.8,456836,0c30dd0e-7118-4efc-b476-df2ca0347938,narcos
The Sopranos,1999,2007,"Crime,Drama",9.2,447316,4092f3aa-5f1d-4128-927b-81bb28be9b15,thesopranos
Arrow,2012,2020,"Action,Adventure,Crime",7.5,442476,7e712780-bdee-477d-9256-77702bff8f39,arrow
The Simpsons,1989,\N,"Animation,Comedy",8.7,428137,1a2b3c6c-fcd9-46e4-8895-a64c4213edff,thesimpsons
Dark,2017,2020,"Crime,Drama,Mystery",8.7,426751,592f0a03-4c54-46bd-852c-b1e0de61c3df,dark
Mr. Robot,2015,2019,"Crime,Drama,Thriller",8.5,409112,b2ade5f2-adef-4a33-a836-0f22c007b3d0,mrrobot
